,50-epochs-W-DPATT
0,1.3323655540379473
1,0.6782310196766839
2,0.4294744581269761
3,0.29312436455450125
4,0.21453297135119623
5,0.16558742839069412
6,0.13481530178183562
7,0.1142334377339568
8,0.10024093118743202
9,0.08944038624009386
