,50-epochs-W-BATT
0,1.4214446173308375
1,0.7756135583114321
2,0.5178193704769635
3,0.36761609928105204
4,0.27290861925568444
5,0.21019156594245958
6,0.1665995717048645
7,0.1372569301376899
8,0.11588378077426467
9,0.100354922603304
