,50-epochs-WO-ATT
0,1.4265125799483767
1,0.7868374934021276
2,0.5546070112016636
3,0.42117042498657115
4,0.3327232529322941
5,0.27174086326989116
6,0.22664235514192915
7,0.1929911919771292
8,0.16734917185272272
9,0.14743047402784848
